ADDRESS, LONDON_BALANCE, GIFT_BALANCE, AIRDROP_BALANCE, EMBERS_AIRDROPPED 
0x3cad70ec39131ddb474429f3879d1b691d89f2fb, 68891.489, 0, 68891.489, 2 
0x296a7608f5caa15303f1d53fccfccfa44bfbd6f1, 65906.359358694618478254, 0, 65906.359358694618478254, 2 
0xb79d39c665cd8394494aaa4f38f09baffa678253, 65654.554164605544752329, 0, 65654.554164605544752329, 2 
0xcb1f0e2b750f2fd825137185307dd66ff4c6332e, 61176.302343096583240806, 0, 61176.302343096583240806, 2 
0x39a9c5a5b83943a8d6c7eadf7669db5d4eb29fab, 60008.541, 4, 100008.541, 5 
0x2a32f73179fdec8935625ae88bfd1e4d9e1fbe47, 52871.596384816196820216, 0, 52871.596384816196820216, 2 
0x9b7d7c4ce98036c4d6f3d638a00e220e083116c7, 52025.188, 3, 82025.188, 2 
0xc310a010e9349af5dcb8804c24bdc2b19b017d11, 51458.707052199274889083, 2, 71458.707052199274889083, 2 
0xe6d270680431b674cadd4e6c13bd56fdbfd6fbad, 50246.012938461718425666, 0, 50246.012938461718425666, 2 
0x3d4508df93241e092825bf72d205eb317121f43f, 50224.257847743018607931, 3, 80224.257847743018607931, 2 
0xbcc74a1dcc842237b6dbcd383a731ec5eb448a99, 50000.0, 0, 50000.0, 2 
0x41357f986bec5e47e196e902439528dfe1ad5051, 50000.0, 9, 140000.0, 5 
0xfb18fd31af65737e446f30c7c35375e53a4ce569, 49897.338499191851681711, 22, 269897.338499191851681711, 5 
0x13816f65ba8195768e6825eb774fd3c6a05a0ac8, 48095.303, 19, 238095.303, 5 
0x99b76dea53742ad8985468b6d6f544c4d80e86a4, 43381.010532809985954047, 26, 303381.010532809985954047, 16 
0xc2c119b9963206a5eb921959ced4ccb828f2434a, 42702.174573082266704925, 21, 252702.174573082266704925, 5 
0x38d3f3cda7d08890a59aed6c21bc21e85e90b1d7, 40625.0, 3, 70625.0, 2 
0xd651e2c626ee210fc38676124d5007ac822ad749, 40332.998082037326884991, 7, 110332.998082037326884991, 5 
0xbfa43bf6e9fb6d5cc253ff23c31f2b86a739bb98, 38101.979778771137732141, 7, 108101.979778771137732141, 5 
0x28da3398f163de49130b1e1e72b46bb3415ebce2, 34662.528490344360694956, 2, 54662.528490344360694956, 2 
0x9469c98be5afd94cd601e094bc401ddd37f480a3, 31180.0, 5, 81180.0, 2 
0xc3cdc5d1401cbe421a5ffb4a3296810476b35671, 30387.724333477863973154, 2, 50387.724333477863973154, 2 
0xacc89b21449b6cbb5101d5267f730c25e02e2409, 30148.740803044566136094, 2, 50148.740803044566136094, 2 
0xb75e6a898f4d7dd32efea8d27094432b0f90618d, 30032.485276525763400783, 16, 190032.485276525763400783, 5 
0x188c30e9a6527f5f0c3f7fe59b72ac7253c62f28, 30000.0, 4, 70000.0, 2 
